ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,-0.16254282,0.678254,-0.5838979,0.58158576,-0.50389796,0.7777852,-0.7898943,0.3286388,0.21150672,0.7706684,0.9689822,-0.7812433,0.5649291,-0.8912066,-0.567064,0.34353483,-0.45663142,0.14982593,-0.042278945,0.71384585,-0.087180376,0.41277313,-0.25610107,-0.7903868,0.0077465773,0.93497825,-0.8326134,0.8193103
1,-0.1645782,0.62328744,0.4202361,0.6648271,-0.9405242,0.19439161,0.6646731,0.59660447,0.96212244,-0.42962164,-0.4063753,-0.6762063,0.7822962,-0.045921624,-0.0930841,0.5669285,0.46378136,0.8588309,0.81472194,0.5809244,0.9871018,0.5122659,-0.02947253,-0.561983,-0.7147061,-0.29413903,-0.7196368,0.7613534
2,-0.13819897,0.6434661,-0.42545706,-0.014575541,0.5548245,0.38566267,0.31343257,-0.5462972,0.8382124,-0.94765246,-0.008004606,0.95325696,-0.27101886,0.25308478,-0.5687721,5.854368E-4,-0.7698907,0.96669185,0.5816982,0.5808147,-0.079934835,0.13517296,0.728194,0.048677444,0.7180306,-0.67880404,0.14406848,0.26754272
3,-0.13534033,0.6895493,-0.78867567,-0.14151067,-0.049633265,-0.88016796,-0.21990502,-0.5175558,-0.78883225,0.4329567,0.91315126,0.5791497,-0.61792946,-0.7914556,0.24578416,-0.08103275,-0.6604371,-0.55509484,0.83596563,-0.56161976,-0.8401617,-0.18060517,-0.53701365,-0.6463324,0.19112217,-0.08946192,0.5270333,-0.84543717
4,-0.1691699,-0.94871277,0.1709013,0.23710465,-0.33875304,-0.5688062,-0.85557604,-0.60608923,-0.7061002,0.88133144,0.24074352,0.16389024,-0.29580843,0.5252131,-0.83076185,0.40114033,0.86566246,0.83209956,-0.7872871,0.6283364,0.38920963,0.3730154,-0.16038752,-0.89240146,0.6563958,0.91297233,0.85994375,0.49924242
5,-0.14567113,-0.39728093,-0.18804598,0.4373424,-0.9723276,-0.8191793,0.82850075,0.9410373,0.33611703,-0.83495283,-0.8425999,0.89219224,-0.20084333,-0.1399619,-0.42616576,0.7723386,-0.9100815,0.9900485,0.34192204,0.80437136,0.03349805,0.39313436,-0.036046445,-0.79171056,-0.1695242,0.8221636,0.3820778,0.31722307
6,-0.14523733,0.97272813,0.18576336,-0.035658836,-0.15351564,-0.7015586,-0.08941227,0.39174795,0.6002009,-0.62591386,-0.46445775,0.24716783,0.14904928,-0.3645023,0.3276869,0.29105508,-0.27721643,-0.57977235,-0.095611334,-0.324758,0.21399689,0.023077726,0.103864074,-0.9924761,0.23904896,0.23949027,-0.19141042,-0.5718394
7,-0.14543962,0.34317386,0.94862866,-0.0020384789,-0.9355467,0.87918687,0.32662034,-0.92006415,-0.9339881,0.23148775,-0.018798888,0.17297733,-0.57438123,-0.7355112,0.6239915,-0.47851133,-0.1407826,0.773016,-0.8576537,-0.19229198,0.458452,-0.64190423,0.13572991,0.9136318,0.28895998,0.67396045,-0.5563028,0.042155623
8,-0.14583921,-0.8092954,0.25388908,0.546239,0.068065286,0.7315196,0.8085165,0.43859696,-0.1620475,-0.8746633,-0.9366587,0.27093577,0.116844535,0.24839664,-0.36165637,-0.4579615,-0.12794447,-0.18506408,-0.40174198,-0.3293985,0.48588312,-0.9944178,0.5911927,0.4684019,0.24190116,0.6707052,-0.31236815,-0.40283805
9,-0.15418434,0.50350153,-0.6880568,0.8739656,-0.049332023,0.67388344,-0.991522,-0.3418644,0.6568394,-0.53111947,-0.38702857,0.0070182085,-0.21896201,-0.7403791,0.5793439,-0.48446846,0.5351001,-0.7796951,-0.26456034,0.03178656,-0.12821466,0.43709838,-0.43480492,-0.3511287,0.8013629,0.2289182,0.90286124,0.9229444
