ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7
0,0.9947698,0.91489995,0.6791998,0.7721462,-0.064465344,0.12667799,-0.9885674,-0.86229265,-0.009112716
1,0.9973884,0.91489995,0.6791998,-0.6030577,-0.064465344,0.12667799,-0.9885674,0.10946643,-0.009112716
2,0.9604022,0.91489995,0.6791998,-0.6030577,-0.064465344,0.12667799,-0.9885674,0.43936646,-0.14812654
3,0.99708307,0.91489995,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,-0.86229265,-0.009112716
4,0.997016,0.91489995,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,-0.86229265,-0.009112716
5,0.9968488,0.91489995,0.6791998,-0.6030577,-0.064465344,0.12667799,-0.9885674,0.43936646,-0.009112716
6,0.9971262,0.9417,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,0.43936646,-0.009112716
7,0.99743956,0.91489995,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,-0.86229265,-0.009112716
8,0.99751914,0.9417,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,-0.86229265,-0.009112716
9,0.997073,0.9417,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,-0.86229265,-0.009112716
10,0.99694246,0.9843596,0.6791998,-0.6030577,-0.064465344,0.12667799,-0.84057,-0.86229265,-0.009112716
11,0.9972581,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.9885674,0.7856953,-0.009112716
12,0.99718326,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.7856953,-0.009112716
13,0.99705595,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.7856953,-0.009112716
14,0.9973883,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.7856953,-0.009112716
15,0.9969581,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.971858,0.7856953,-0.009112716
16,0.9971386,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.7856953,-0.009112716
17,0.9970168,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.7856953,-0.009112716
18,0.99669755,0.9417,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.84057,0.08080292,-0.009112716
19,0.99721575,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.971858,0.7856953,-0.009112716
20,0.997376,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.971858,0.08080292,-0.009112716
21,0.9612836,0.9417,0.6791998,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.009112716
22,0.9769271,0.9843596,0.6791998,-0.6350393,-0.064465344,0.38852322,-0.971858,0.7856953,-0.12918967
23,0.9973459,0.9843596,0.6791998,-0.6350393,-0.064465344,0.12667799,-0.971858,0.7856953,-0.009112716
24,0.9888176,0.9417,0.6791998,-0.6350393,0.17773402,0.12667799,-0.971858,0.08080292,-0.12918967
25,0.9907566,0.9417,-0.048429906,-0.6350393,0.17773402,0.38852322,-0.971858,0.08080292,-0.12918967
