Generation,Maximum Fitness,Average Fitness,Variance
0,0.9837769,0.8311642,0.004274047
1,0.9837769,0.83279246,0.004628045
2,0.9837769,0.8352936,0.004512771
3,0.9837769,0.84336954,0.004657614
4,0.9837769,0.84506583,0.004802879
5,0.9837769,0.85397667,0.004795045
6,0.9837769,0.86202043,0.0047208588
7,0.9837769,0.871785,0.0044871927
8,0.9837769,0.87260175,0.0043060277
9,0.9837769,0.87239856,0.0042379587
10,0.9837769,0.87635183,0.0044863895
11,0.98474276,0.8750671,0.0043793255
12,0.98474276,0.873427,0.0043122927
13,0.98474276,0.87275624,0.004488921
14,0.98474276,0.8730407,0.0046614925
15,0.98474276,0.8774932,0.0042394707
16,0.99705887,0.8849323,0.0044013853
17,0.99705887,0.88300407,0.004279856
18,0.99705887,0.8883479,0.004541222
19,0.99705887,0.88977486,0.004358135
20,0.99705887,0.8897693,0.004794734
21,0.99705887,0.8940438,0.004375529
22,0.99705887,0.89381933,0.0044960077
23,0.99705887,0.9000708,0.0040549473
24,0.99705887,0.90367293,0.004052742
25,0.99705887,0.9072826,0.004156548
26,0.99705887,0.9111734,0.0037354424
27,0.99705887,0.9184025,0.0033025898
28,0.99705887,0.91944665,0.0030669395
29,0.99705887,0.9223144,0.0029051937
30,0.99705887,0.92433405,0.0028545747
31,0.99705887,0.92316276,0.0029080273
32,0.99705887,0.9183143,0.0037983092
33,0.99705887,0.92196345,0.0034671884
34,0.99705887,0.92302495,0.0034632895
35,0.99705887,0.9261717,0.003829126
36,0.99705887,0.92461264,0.003814959
37,0.99705887,0.92579895,0.003648903
38,0.99705887,0.9322442,0.0033761847
39,0.99705887,0.9342717,0.0028633422
40,0.99705887,0.93690115,0.0028746722
41,0.99705887,0.93695414,0.0031013277
42,0.99705887,0.9371585,0.0031478798
43,0.99705887,0.9373941,0.0030806428
44,0.99705887,0.9376866,0.0030983207
45,0.99705887,0.9355509,0.0034529772
46,0.99705887,0.9391307,0.0035956858
47,0.99705887,0.9395676,0.0035702337
48,0.99705887,0.94083565,0.0036209654
49,0.99705887,0.94233835,0.003532618
50,0.9971097,0.9457883,0.0034078266
51,0.9971097,0.95306975,0.0025344954
52,0.9971097,0.9537728,0.0027247423
53,0.9971097,0.9562971,0.0024530587
54,0.9971097,0.9557245,0.0025901373
55,0.9971097,0.95975214,0.0019359196
56,0.9971097,0.95661044,0.0024950516
57,0.9971097,0.9574666,0.0023443978
58,0.9971097,0.9599737,0.0018029857
59,0.9971097,0.9638603,0.001431435
60,0.9971097,0.9621514,0.0018128027
61,0.9971097,0.9620975,0.0018486014
62,0.9971097,0.96201,0.002012972
63,0.9971168,0.9623793,0.0018629174
64,0.9971168,0.96270293,0.0016833878
65,0.9972756,0.9671527,0.0016358254
66,0.9972756,0.96637917,0.0016922867
67,0.9972756,0.9644264,0.0018931082
68,0.9972756,0.9637787,0.0020395273
69,0.9972756,0.96510124,0.0017668281
70,0.9972756,0.965472,0.0017930411
71,0.9972756,0.96707237,0.0015605525
72,0.9972756,0.96710104,0.0015926181
73,0.9972756,0.96716505,0.0017337775
74,0.9972756,0.96894264,0.0015459394
75,0.9972756,0.97020936,0.0015580489
76,0.99736977,0.9682499,0.0017132276
77,0.99736977,0.9695423,0.001566896
78,0.9974334,0.96997446,0.0015617099
79,0.9974334,0.970987,0.0014860317
80,0.9974334,0.9733837,0.0014515716
81,0.9974334,0.97238374,0.0015354604
82,0.9974334,0.97465223,0.0012800934
83,0.9974334,0.9735352,0.0015590792
84,0.9974334,0.97443163,0.0014275225
85,0.9974559,0.973854,0.0015497343
86,0.9974564,0.97376055,0.0017487243
87,0.99751896,0.9727201,0.0017901917
88,0.99751896,0.975626,0.0012471428
89,0.99751896,0.97493434,0.0014524393
90,0.99751896,0.9746494,0.0014888864
91,0.99757427,0.9757843,0.0014022794
92,0.99757427,0.9750345,0.0013840651
93,0.99757427,0.9747314,0.0017708623
94,0.99757427,0.9731092,0.0020367475
95,0.99760145,0.973471,0.0019408144
96,0.99760145,0.9744931,0.0018828851
97,0.99760145,0.9737668,0.0019060933
98,0.99761754,0.9735487,0.0018885552
99,0.99761754,0.97697645,0.0015138994
100,0.99761754,0.97744393,0.0012714572
101,0.99761754,0.9793932,0.0011430217
102,0.99761754,0.9802864,0.0010555958
103,0.99761754,0.9828382,7.969753E-4
104,0.99761754,0.98262435,7.972293E-4
105,0.99761754,0.9797651,0.0012017132
106,0.99761754,0.98117256,0.0010693781
107,0.99765927,0.98434854,6.8788516E-4
108,0.99765927,0.9844333,6.9288595E-4
109,0.99765927,0.9852347,6.4319035E-4
110,0.99765927,0.9857491,4.54527E-4
111,0.99765927,0.9867937,3.8394716E-4
112,0.99765927,0.9847137,6.78271E-4
113,0.99765927,0.98346955,9.14046E-4
114,0.99765927,0.9832848,9.1392186E-4
115,0.9977394,0.9848244,7.7052705E-4
116,0.9977394,0.9835424,9.854144E-4
117,0.9977394,0.9828756,0.0012721842
118,0.9977394,0.9842481,0.0010468684
119,0.9977394,0.9849033,9.691652E-4
120,0.9977394,0.9851123,9.399303E-4
121,0.9977394,0.98713195,6.9517957E-4
122,0.9977394,0.98796654,6.098519E-4
123,0.9977394,0.9860868,0.0010290045
124,0.9977394,0.98753136,6.454893E-4
125,0.9977394,0.9873507,8.964613E-4
126,0.9977394,0.98549414,0.0012656122
127,0.9977394,0.98612547,0.0010995538
128,0.9977394,0.98710024,0.0010508868
129,0.9977394,0.9868628,9.3965005E-4
130,0.9977394,0.98709434,8.755339E-4
131,0.9977394,0.98785245,6.907443E-4
132,0.9977394,0.9881692,5.333912E-4
133,0.9977394,0.9880291,5.1815517E-4
134,0.9977596,0.9858947,9.191305E-4
135,0.99778193,0.9847741,0.0013162115
136,0.99778193,0.98585266,0.0010829761
137,0.99778193,0.9846734,0.001358825
138,0.99778193,0.9847546,0.0013805459
139,0.99778193,0.9843461,0.0014310759
140,0.99778193,0.98410654,0.0014321044
141,0.99778193,0.9840821,0.0014883542
142,0.99778193,0.9836289,0.001585863
143,0.99778193,0.9843554,0.0014728595
144,0.99778193,0.9827717,0.001757146
145,0.99778193,0.9823785,0.0017531711
146,0.99778193,0.9831876,0.0016115688
147,0.99778193,0.98264015,0.0016722744
148,0.99778193,0.9834472,0.0016211421
149,0.99778193,0.9845935,0.001362894
150,0.99778193,0.98463356,0.0013369123
151,0.99778193,0.9845345,0.0013532509
152,0.99778193,0.98455095,0.001352529
153,0.99778193,0.984196,0.001347918
154,0.99778193,0.9841881,0.0014071937
155,0.99778193,0.98597634,0.0010309385
156,0.99778193,0.9855162,0.0011339181
157,0.99778193,0.99048215,2.6777972E-4
158,0.99778193,0.9907501,2.4353049E-4
159,0.99778193,0.99094856,1.9856529E-4
160,0.99778193,0.99005866,2.9442972E-4
161,0.99778193,0.9896687,5.661828E-4
162,0.99778193,0.9902269,5.124492E-4
163,0.99778193,0.98909575,7.277481E-4
164,0.99778193,0.9863888,0.0011087541
165,0.99778193,0.98636365,0.0010186194
166,0.99778193,0.9856233,0.0010142468
167,0.99778193,0.9864368,8.2463416E-4
168,0.99778193,0.98784345,4.5601663E-4
169,0.99778193,0.9883406,4.0473288E-4
170,0.99778193,0.98866916,3.6085348E-4
171,0.99778193,0.98652864,7.761021E-4
172,0.99778193,0.98508424,9.130694E-4
173,0.99778193,0.98722655,5.1223225E-4
174,0.99778193,0.9873546,5.189422E-4
175,0.99778193,0.98639834,6.562115E-4
176,0.99778193,0.9855272,6.3234643E-4
177,0.99778193,0.98668635,6.134831E-4
178,0.99778193,0.9870796,6.2327366E-4
179,0.99778193,0.9874786,6.162846E-4
180,0.99778193,0.9867271,8.2251645E-4
181,0.99778193,0.9862432,9.775253E-4
182,0.99778193,0.98442495,0.0012458534
183,0.99778193,0.9830394,0.001410915
184,0.99778193,0.98302263,0.0014131556
185,0.99778193,0.9816695,0.0017128824
186,0.99778193,0.9849251,0.0012412638
187,0.99778193,0.9828415,0.0014708984
188,0.99778193,0.98358226,0.0013545621
189,0.99778193,0.98394805,0.0013646565
190,0.99778193,0.9836227,0.0015029086
191,0.99778193,0.9833876,0.0016860766
192,0.99778193,0.98471946,0.0014524768
193,0.99778193,0.9852404,0.0013975379
194,0.99778193,0.9864323,0.0010948548
195,0.99778193,0.9854452,0.0012025513
196,0.99778193,0.98492676,0.0013243
197,0.99778193,0.988469,6.8758137E-4
198,0.99778193,0.9882998,5.87742E-4
199,0.99778193,0.98846024,5.772816E-4
