ID,Fitness,gene 0,gene 1,gene 2,gene 3,gene 4,gene 5,gene 6,gene 7,gene 8,gene 9,gene 10,gene 11,gene 12,gene 13,gene 14,gene 15,gene 16,gene 17,gene 18,gene 19,gene 20,gene 21,gene 22,gene 23,gene 24,gene 25,gene 26
0,0.7456402,-0.29305995,0.36415696,-0.13930666,0.19564295,-0.11237705,-0.1608082,-0.4364941,0.49754345,-0.42944252,-0.29780763,0.7138274,0.04912615,-0.30995554,0.84960055,-0.8618937,-0.70973146,0.3573892,0.34004045,0.67897594,-0.1303997,-0.3019411,0.523113,-0.36417186,0.66749954,-0.08146244,0.8319758,-0.617728
1,0.78986055,-0.29305995,0.36415696,0.61471915,-0.4809888,-0.35430813,-0.1608082,-0.4364941,0.49754345,-0.42944252,-0.29780763,0.7138274,0.97210896,-0.30995554,0.84960055,-0.8618937,-0.5039269,0.3573892,0.34004045,0.67897594,-0.1303997,-0.3019411,0.523113,-0.36417186,-0.13918728,0.57013917,0.033775687,-0.617728
2,0.7905333,-0.29305995,0.36415696,-0.13930666,-0.5571421,-0.35430813,-0.1608082,-0.4364941,0.49754345,-0.5262079,-0.67187333,0.7138274,0.04912615,-0.30995554,0.84960055,0.54179037,-0.70973146,-0.2377038,0.34004045,0.67897594,-0.41286522,-0.3019411,0.16616201,-0.36417186,-0.13918728,-0.08146244,-0.04233831,-0.617728
3,0.86554337,-0.29305995,0.36415696,-0.13930666,-0.5571421,-0.11237705,-0.1608082,-0.4364941,0.49754345,-0.42944252,-0.67187333,0.7138274,0.04912615,-0.30995554,0.84960055,-0.8618937,-0.70973146,0.3573892,0.15707314,0.67897594,-0.1303997,-0.3019411,0.523113,-0.36417186,0.66749954,-0.08146244,0.8319758,-0.617728
4,0.81541896,-0.20436662,0.36415696,-0.13930666,-0.5571421,-0.35430813,-0.1608082,0.05567622,0.49754345,-0.5262079,-0.67187333,0.7138274,0.04912615,-0.30995554,0.84960055,0.54179037,-0.70973146,0.3573892,0.15707314,0.67897594,-0.41286522,-0.3019411,0.523113,-0.36417186,-0.13918728,-0.08146244,0.8319758,-0.617728
5,0.7678588,-0.29305995,0.5690044,0.61471915,-0.4809888,-0.2552845,-0.1608082,0.05567622,0.49754345,-0.42944252,-0.67187333,0.7138274,0.04912615,-0.30995554,0.84960055,0.54179037,-0.5039269,0.3573892,0.34004045,0.67897594,-0.41286522,-0.3019411,0.16616201,-0.36417186,0.66749954,-0.08146244,-0.04233831,-0.617728
6,0.8946427,-0.20436662,0.36415696,0.61471915,-0.5571421,-0.35430813,-0.1608082,-0.4364941,0.49754345,-0.42944252,-0.67187333,0.7138274,-0.4711119,-0.30995554,0.84960055,0.54179037,0.33237028,0.3573892,0.15707314,0.67897594,-0.41286522,-0.3019411,0.16616201,-0.36417186,-0.13918728,-0.08146244,-0.04233831,-0.617728
7,0.81088257,-0.29305995,0.36415696,0.61471915,-0.5571421,-0.35430813,-0.1608082,0.05567622,0.49754345,-0.5262079,-0.67187333,0.7138274,0.97210896,-0.009155154,0.84960055,0.54179037,-0.70973146,-0.2377038,0.15707314,0.67897594,-0.41286522,-0.3019411,0.16616201,-0.36417186,-0.13918728,-0.08146244,-0.04233831,-0.617728
8,0.8248447,-0.20436662,0.5690044,0.61471915,-0.5571421,-0.2552845,0.9857954,0.05567622,0.49754345,0.99750435,-0.67187333,0.7138274,0.04912615,0.8757318,0.84960055,-0.8618937,-0.70973146,-0.2377038,0.15707314,0.67897594,-0.41286522,-0.3019411,-0.28965807,-0.36417186,-0.16637725,-0.08146244,0.8319758,0.7783313
9,0.7321223,-0.20436662,0.36415696,0.61471915,-0.5571421,0.046126485,-0.1608082,0.05567622,0.49754345,0.99750435,-0.29780763,0.7138274,0.04912615,-0.30995554,0.84960055,-0.6243918,0.33237028,0.3573892,0.15707314,0.67897594,-0.41286522,-0.24563497,0.16616201,0.14815557,-0.16637725,-0.08146244,0.8319758,-0.617728
