Generation,Maximum Fitness,Average Fitness,Variance
0,0.7440698,-0.07672366,0.18422179
1,0.7440698,-0.08668444,0.20142159
2,0.7440698,-0.017104976,0.17091951
3,0.7440698,-0.06025795,0.22500914
4,0.7440698,-0.03421742,0.2275153
5,0.7440698,0.019589497,0.20340945
6,0.7440698,0.009346467,0.21962826
7,0.7440698,0.04289367,0.2237556
8,0.7440698,0.11838232,0.18592525
9,0.7440698,0.100245975,0.22616734
10,0.7440698,0.14240277,0.16863538
11,0.7440698,0.12864393,0.1794148
12,0.7440698,0.17059804,0.14729212
13,0.7440698,0.14739631,0.21241805
14,0.7440698,0.14262435,0.22903462
15,0.7440698,0.16056931,0.18126515
16,0.7440698,0.15087715,0.1646973
17,0.7440698,0.21884522,0.1903174
18,0.79261714,0.24385498,0.19151367
19,0.79261714,0.22232832,0.15253733
20,0.79261714,0.15437825,0.20867635
21,0.79261714,0.22531275,0.1657661
22,0.79261714,0.2639881,0.11496147
23,0.79261714,0.2941545,0.09810997
24,0.83655727,0.26193377,0.14521031
25,0.83655727,0.26232493,0.15571964
26,0.83655727,0.30554318,0.0960677
27,0.83655727,0.2652898,0.16085656
28,0.83655727,0.25576413,0.22421493
29,0.83655727,0.31717137,0.1264548
30,0.83655727,0.3736322,0.08367091
31,0.83655727,0.34188104,0.11297449
32,0.83655727,0.37378323,0.107069366
33,0.83655727,0.38217008,0.08850401
34,0.83655727,0.38045925,0.095205985
35,0.83655727,0.41190404,0.07290374
36,0.83655727,0.35551354,0.13421379
37,0.83655727,0.33546788,0.16312237
38,0.83655727,0.38214946,0.12962247
39,0.83655727,0.45293403,0.07211462
40,0.83655727,0.46590737,0.075662576
41,0.83655727,0.43020305,0.11912945
42,0.83655727,0.44357502,0.08716313
43,0.83655727,0.44116455,0.07822483
44,0.9051729,0.47571027,0.06618559
45,0.9051729,0.4793182,0.08332613
46,0.9051729,0.48548904,0.08352658
47,0.9051729,0.4474746,0.11947461
48,0.9051729,0.4660773,0.09083625
49,0.9051729,0.4753843,0.105090834
50,0.9051729,0.42253715,0.12970014
51,0.9051729,0.4618885,0.07193679
52,0.9051729,0.43938336,0.11078314
53,0.9051729,0.44995925,0.10298064
54,0.9051729,0.4754842,0.077664346
55,0.9051729,0.4732338,0.0910555
56,0.9051729,0.4732594,0.09410022
57,0.9051729,0.5168763,0.0866194
58,0.9051729,0.50939274,0.085681096
59,0.9051729,0.5250567,0.078505196
60,0.9051729,0.5172388,0.07856105
61,0.9051729,0.5188073,0.08425463
62,0.9051729,0.5280106,0.1029421
63,0.9051729,0.5367,0.054765914
64,0.9051729,0.5272159,0.0964631
65,0.9051729,0.49208108,0.14450094
66,0.9051729,0.5237509,0.084685765
67,0.9051729,0.548953,0.084621325
68,0.9051729,0.5466913,0.054833088
69,0.9051729,0.55910516,0.113188066
70,0.9051729,0.5730951,0.071693964
71,0.9051729,0.56723166,0.07568493
72,0.9051729,0.55607927,0.0745674
73,0.9051729,0.58033246,0.05789457
74,0.9051729,0.5845507,0.053000588
75,0.9051729,0.6008092,0.040859096
76,0.9051729,0.5625026,0.07767456
77,0.9051729,0.57210034,0.066623054
78,0.9051729,0.5768184,0.061278295
79,0.9051729,0.5631017,0.07444297
80,0.9051729,0.59127796,0.049086608
81,0.9051729,0.617321,0.053822868
82,0.9051729,0.60859275,0.0672077
83,0.9051729,0.6113297,0.06419768
84,0.9051729,0.5971803,0.053823203
85,0.9051729,0.61254656,0.043915473
86,0.9051729,0.6363117,0.02999934
87,0.9051729,0.60274076,0.048564535
88,0.9051729,0.58272207,0.08296132
89,0.9051729,0.6189166,0.038127754
90,0.9051729,0.6090954,0.042404763
91,0.9051729,0.61462796,0.047221173
92,0.9051729,0.61697453,0.041587878
93,0.9051729,0.61843634,0.036881592
