Generation,Maximum Fitness,Average Fitness,Variance
0,0.60648996,-0.033767246,0.121807896
1,0.60648996,-0.005606175,0.11596825
2,0.60648996,-0.014352832,0.1159478
3,0.60648996,0.03077323,0.09461632
4,0.60648996,0.008649788,0.10213593
5,0.60648996,0.049661785,0.11308571
6,0.60648996,0.041256007,0.13198602
7,0.60648996,0.027126832,0.1276687
8,0.60648996,0.07804791,0.11747515
9,0.60648996,0.09152633,0.08696899
10,0.6435362,0.12375933,0.09439117
11,0.6435362,0.12421692,0.08182545
12,0.6435362,0.13167359,0.109207414
13,0.6435362,0.123603046,0.13358437
14,0.6435362,0.19164269,0.08653339
15,0.6435362,0.18032047,0.0832446
16,0.6435362,0.13678789,0.1077498
17,0.6435362,0.15822735,0.086007886
18,0.651345,0.17686763,0.091177255
19,0.651345,0.15056309,0.11741106
20,0.651345,0.1551992,0.12273041
21,0.67311406,0.1765953,0.12286529
22,0.67311406,0.19030504,0.08684084
23,0.67311406,0.17882927,0.1159879
24,0.74977183,0.20534901,0.116708785
25,0.74977183,0.2469749,0.090368874
26,0.74977183,0.27044383,0.06168495
27,0.74977183,0.22102138,0.10750603
28,0.74977183,0.2078562,0.10848219
29,0.74977183,0.21755281,0.10392169
30,0.74977183,0.18596724,0.08988496
31,0.74977183,0.20933521,0.09316026
32,0.74977183,0.2129498,0.10161106
33,0.74977183,0.25171486,0.065662704
34,0.74977183,0.2721116,0.07996368
35,0.74977183,0.24917004,0.0770868
36,0.74977183,0.20872867,0.10493278
37,0.74977183,0.21866487,0.09161736
38,0.74977183,0.23324747,0.08985944
39,0.74977183,0.25791332,0.06501869
40,0.74977183,0.2546607,0.087360285
41,0.74977183,0.24916743,0.11096175
42,0.74977183,0.23341902,0.112250336
43,0.74977183,0.25721627,0.10695718
44,0.75530726,0.27850413,0.087468155
45,0.75530726,0.275616,0.077767566
46,0.75530726,0.27608415,0.07738377
47,0.75530726,0.32482037,0.051310156
48,0.78137463,0.31208184,0.08770001
49,0.78137463,0.3177141,0.08415647
50,0.78137463,0.2905013,0.076957606
51,0.78137463,0.27116424,0.10072297
52,0.78137463,0.32461753,0.08203092
53,0.78137463,0.3568755,0.07661121
54,0.78137463,0.3431045,0.07188705
55,0.78137463,0.3486498,0.07083341
56,0.78137463,0.3871651,0.056072257
57,0.78137463,0.37017977,0.06751913
58,0.78137463,0.35448024,0.07880596
59,0.78137463,0.35652852,0.076233655
60,0.78137463,0.33925092,0.08430448
61,0.78137463,0.37124103,0.068412654
62,0.78137463,0.37990832,0.057637393
63,0.78137463,0.40066695,0.04917659
64,0.78137463,0.3731739,0.08081024
65,0.8015225,0.4055778,0.07267941
66,0.8015225,0.40967277,0.07818652
67,0.8015225,0.41172945,0.06109223
68,0.8015225,0.43206325,0.05681408
69,0.8015225,0.4272409,0.057045247
70,0.8015225,0.37646863,0.06377147
71,0.8015225,0.40498534,0.1004835
72,0.8015225,0.45973027,0.044868335
73,0.8015225,0.43959573,0.07281577
74,0.8015225,0.4570917,0.06360574
75,0.8507763,0.43327904,0.059108887
76,0.8507763,0.46278873,0.054768804
77,0.8507763,0.4503752,0.07604535
78,0.8507763,0.44077724,0.07563021
79,0.8507763,0.42558804,0.06346064
80,0.8507763,0.46777675,0.053114172
81,0.8507763,0.45683125,0.067729264
82,0.8507763,0.498666,0.044042487
83,0.8507763,0.50518787,0.04564851
84,0.8507763,0.5163777,0.04676691
85,0.8507763,0.50046724,0.04570455
86,0.8507763,0.49712408,0.06708348
87,0.8507763,0.46956727,0.07107923
88,0.8507763,0.50461084,0.04248756
89,0.8507763,0.47810268,0.05960267
90,0.8507763,0.5115881,0.042077135
91,0.8507763,0.4906677,0.0649645
92,0.8507763,0.47515702,0.06697379
93,0.8507763,0.4539836,0.06434233
94,0.8507763,0.49393493,0.061086304
95,0.8507763,0.45292243,0.12646043
96,0.8507763,0.46259347,0.11161279
97,0.85426635,0.5218058,0.051880512
98,0.85426635,0.5169339,0.05381434
99,0.85426635,0.5345104,0.054589294
100,0.85426635,0.5254121,0.053507753
